"V1","V2","V3"
112.121608370477,-7.29656728324311,0.001
112.083471797067,-7.72527941695877,21.693181331651
112.037094479131,-8.1476985332524,45
112.59119515302,-7.40531372621431,0.001
112.520978147407,-7.81322522643325,22.8973829638065
112.463904124725,-8.22801212002178,45
113.029174320325,-7.50674047914356,0.001
112.971485296388,-7.90247868002851,23.9738445139086
112.920205570666,-8.31387529155338,45
113.472215741272,-7.56081478864027,0.001
113.432796943542,-7.96260354261247,24.2114606283416
113.378916985999,-8.379647963014,45
113.921741337507,-7.57844324003713,0.001
113.889155979949,-8.0002582515547,23.5408365490749
113.837372974047,-8.43058751922774,45
114.371787890171,-7.59609212778167,0.001
114.342455522366,-8.03572878503483,22.7252670019168
114.292338427583,-8.47684491924941,45
114.837835315476,-7.62920200135986,0.001
114.79034854881,-8.07250497190834,21.9742092315594
114.748879562027,-8.51351488809598,45
115.297122915538,-7.69459974673953,0.001
115.237211090077,-8.12275525422017,21.8944327534224
115.201591809216,-8.54987731629516,45
115.743758458275,-7.7581959702991,0.001
115.68964623835,-8.17364829092499,21.9109943272357
115.65147705829,-8.587048817693,45
116.18923814357,-7.8216276094687,0.001
116.143872577322,-8.22594349965694,22.411023776504
116.105914768277,-8.6315046816204,45
116.636162956533,-7.87236754370017,0.001
116.600606972058,-8.27324158715113,22.6198601273607
116.568416524539,-8.67674942017552,45
117.085434752673,-7.90342831043036,0.001
117.057575691083,-8.3066364342548,22.3819286129428
117.033230754794,-8.71027965197126,45
117.524477177298,-7.93378186187027,0.001
117.516416912808,-8.33433000892575,22.4443302056298
117.510381938834,-8.73566726442237,45
117.969236957667,-7.9213914216615,0.001
117.979948729474,-8.32293435977278,22.3112119188105
117.978665455517,-8.72418972474947,45
118.418719143836,-7.89518842525452,0.001
118.439373455545,-8.30594365822681,21.8537747209125
118.444636090723,-8.71276887505986,45
118.88886024418,-7.86778109371,0.001
118.896413461136,-8.2862256056785,21.925208009611
118.905804968663,-8.70095212942259,45
119.361914277946,-7.87897845936838,0.001
119.352305402997,-8.28244294011078,23.1131747646884
119.350238067226,-8.69279599813871,45
119.831078176998,-7.89277739797644,0.001
119.817530663659,-8.29559784014595,23.2091664186359
119.795655740977,-8.70572286060071,45
120.295604242762,-7.90643992986654,0.001
120.275161177581,-8.32401021195488,22.15024646617
120.23203293534,-8.73821903166702,45
120.773575008639,-7.93055705809754,0.001
120.729119128276,-8.37023312962093,20.6977934283366
120.675394399922,-8.79519510393534,45
121.225478663008,-7.99743880083742,0.001
121.174066542589,-8.43107447999848,20.6521161169773
121.137984556551,-8.85197422120994,45
121.670916446584,-8.06336359266497,0.001
121.627156126342,-8.48316966138516,21.4734956016996
121.606596545457,-8.89719116521595,45
122.097011162093,-8.12642561637376,0.001
122.091283142316,-8.51150586282174,22.6448913005433
122.094368137381,-8.89920218986963,45
122.517021824846,-8.07828204959126,0.001
122.559163174065,-8.48455874131467,22.1025598496
122.581562128802,-8.89015881322739,45
122.962916330212,-8.01587950870014,0.001
123.015107001786,-8.43404975057372,21.5894461927505
123.053217704569,-8.84714112986819,45
123.407582784012,-7.95364883711611,0.001
123.466992203452,-8.37923966080745,21.0955997073753
123.521551403706,-8.79476170430529,45
123.853457947658,-7.89124900329469,0.001
123.919628425938,-8.31211409557932,21.7189686863316
123.986145632779,-8.72753145708616,45
124.297867133936,-7.82905433274104,0.001
124.372448256051,-8.24384639178457,22.3958001529825
124.447092557159,-8.65907399422262,45
124.734883796896,-7.73692996201558,0.001
124.826254364926,-8.15640824136256,22.1500249704846
124.91317273433,-8.57518870456913,45
125.172779682492,-7.6344436927891,0.001
125.271841318686,-8.0525090928688,22.1576002813964
125.36668842949,-8.4699730645723,45
125.618677553404,-7.53008461563918,0.001
125.718511751856,-7.94837797198399,22.1662708678738
125.817434016207,-8.36540009210971,45
126.05982510258,-7.42619785939958,0.001
126.163636309887,-7.84232432631041,21.9893254844558
126.268089153605,-8.25524538332582,45
126.497999464444,-7.3118915068745,0.001
126.604798564874,-7.72416600270041,20.8563534517397
126.713734118636,-8.12261295658213,45
126.935399498148,-7.19778714798322,0.001
127.044869028487,-7.60407128518894,20.2871595173654
127.157945011277,-7.9905005731221,45
127.370203653204,-7.08435997679403,0.001
127.486216972623,-7.48465611843784,20.5748671854197
127.60541000594,-7.86759173256225,45
127.802427069449,-6.97160604276779,0.001
127.927320403588,-7.36402818033323,21.1217946467211
128.053719729052,-7.74445085895985,45
128.204965074922,-6.82317110547681,0.001
128.359639233743,-7.22010487733218,22.2498605071208
128.509752539815,-7.61796226355024,45
128.614337139241,-6.65857821407742,0.001
128.77528322842,-7.04967411714448,22.5178093515932
128.947342255519,-7.43777826263388,45
129.00349722606,-6.50211179111895,0.001
129.198273293293,-6.8715226291523,23.5603020519056
129.393393332665,-7.25268916340146,45
129.349510485566,-6.27360658102841,0.001
129.588652183651,-6.63242544294063,22.9265142224344
129.812151560059,-7.00701766817452,45
129.689452933197,-6.04502451880952,0.001
129.979430426529,-6.38817236873346,22.6851202937078
130.252388334158,-6.74874547002866,45
